ILI	POS	Lemmas	EN_Definition	ZH_Definition	JA_Definition
i101	a	unaccommodating, unobliging	not accommodating		
i102	s	uncooperative, disobliging	intentionally unaccommodating		
i103	a	accurate	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy		
i104	s	close, faithful	marked by fidelity to an original		
i105	s	dead-on	accurate and to the point		
i106	s	hi-fi, high-fidelity	characterized by minimal distortion in sound reproduction		
i107	s	surgical	performed with great precision		
i108	s	straight	in keeping with the facts		
i109	s	true, dead on target	accurately placed or thrown		
i110	s	right, veracious	precisely accurate		
i111	a	inaccurate	erroneous		
i112	s	outside, away	(of a baseball pitch) on the far side of home plate from the batter		
i113	s	wrong, incorrect, faulty	characterized by errors; not agreeing with a model or not following established rules		
i114	s	unfaithful	not trustworthy		
i115	s	wide, wide of the mark	not on target		
i117	s	wont to, used to	in the habit of doing something		
i119	s	new	(often followed by `to') unfamiliar		
i121	a	acidic	being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)		
i122	s	acid	having the characteristics of an acid		
i123	s	acid-forming	yielding an acid in aqueous solution		
i124	a	alkaline, alkalic	relating to or containing an alkali; having a pH greater than 7		
i125	s	alcalescent, alkalescent	tending to become alkaline; slightly alkaline		
i126	s	basic	of or denoting or of the nature of or containing a base		
i127	s	base-forming	yielding a base in aqueous solution		
i128	s	saltlike	resembling a compound formed by replacing hydrogen in an acid by a metal		
i129	a	amphoteric, amphiprotic	having characteristics of both an acid and a base and capable of reacting as either		
i130	a	acid-loving	thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)		
i131	s	aciduric, acidophilous, acidophilic	especially of some bacteria; growing well in an acid medium		
i132	a	alkaline-loving	thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)		
i133	a	acknowledged	recognized or made known or admitted		
i134	s	recognised, recognized, accepted	generally approved or compelling recognition		
i135	s	self-confessed	owned up to		
i136	s	assumptive	accepted as real or true without proof		
i137	s	declarable	that must be declared		
i138	s	given, granted	acknowledged as a supposition		
i139	s	putative	purported; commonly put forth or accepted as true on inconclusive grounds		
i140	a	unacknowledged	not recognized or admitted		
i141	s	unsung, unvalued, unappreciated	having value that is not acknowledged		
i142	s	unavowed, secret	not openly made known		
i143	s	unconfessed	not admitted		
i144	s	unrecognized, unrecognised	not recognized		
i145	a	acquisitive	eager to acquire and possess things especially material possessions or ideas		
i146	s	accumulative	marked by acquiring or amassing		
i147	s	avaricious, greedy, covetous, grasping, grabby, prehensile	immoderately desirous of acquiring e.g. wealth		
i148	s	possessive	desirous of owning		
i149	s	plundering	given to taking by force what is desired		
i150	s	predaceous, predacious, predatory	living by or given to victimizing others for personal gain		
i151	s	voracious, ravening, rapacious	excessively greedy and grasping		
i152	s	sordid	meanly avaricious and mercenary		
i153	a	unacquisitive	not acquisitive; not interested in acquiring or owning anything		
i154	a	acropetal	of leaves or flowers; developing or opening in succession from base to apex		
i155	a	basipetal	of leaves or flowers; developing or opening in succession from apex to base		
i156	a	active	characterized by energetic activity		
i157	s	about, astir	on the move		
i158	s	gymnastic, athletic, acrobatic	vigorously active		
i159	s	agile, spry, quick, nimble	moving quickly and lightly		
i160	s	hot	marked by excited activity		
i161	s	overactive, hyperactive	more active than normal		
i162	s	on the go	(of a person) very busy and active		
i163	s	sporty	appropriate for sport or engagement in a sport		
i164	a	inactive	not active physically or mentally		
i165	s	desk-bound, deskbound	restricted to working in an office rather than in an active physical capacity		
i166	s	abeyant, dormant	inactive but capable of becoming active		
i167	s	hypoactive, underactive	abnormally inactive		
i168	s	torpid, inert, soggy, sluggish	slow and apathetic		
i169	s	sedentary	requiring sitting or little activity		
i170	a	active	engaged in full-time work		
i172	a	inactive	not engaged in full-time work		
i173	s	off	not performing or scheduled for duties		
i174	s	retired	no longer active in your work or profession		
i175	a	active	full of activity or engaged in continuous activity		
i176	s	brisk	very active		
i177	s	bustling	full of energetic and noisy activity		
i178	s	busy	crowded with or characterized by much activity		
i179	s	going	in full operation		
i180	s	open	ready for business		
i181	s	springy	(of movements) light and confidently active		
i182	a	inactive	lacking activity; lying idle or unused		
i183	s	dark	not giving performances; closed		
i184	s	dead	devoid of activity		
i185	s	sluggish, dull, slow	(of business) not active or brisk		
i186	s	idle, unused	not in active use		
i187	s	strikebound	closed or immobilized by a strike		
i188	a	active	tending to become more severe or wider in scope		
i189	s	progressive	advancing in severity		
i190	a	inactive	(pathology) not progressing or increasing; or progressing slowly		
i191	s	dead-end	lacking opportunities for development or advancement		
i192	s	flat	commercially inactive		
i193	s	indolent	(of tumors, e.g.) slow to heal or develop and usually painless		
i194	s	latent	(pathology) not presently active		
i195	s	quiescent	(pathology) causing no symptoms		
i196	a	active	disposed to take action or effectuate change		
i197	s	activistic, activist	advocating or engaged in activism		
i198	s	hands-on	involving active participation		
i199	s	proactive	(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens		
i200	a	inactive, passive	lacking in energy or will		
